pr名,用户名,url,合并时间,奖励数量
main to dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/72,2023-02-18T08:39:59Z
cleanup,pcdotfan,https://github.com/WTFAcademy/frontend/pull/71,未合并
fix: typo,overtrue,https://github.com/WTFAcademy/frontend/pull/70,2023-02-01T07:08:33Z
Dev: update i18n,AmazingAng,https://github.com/WTFAcademy/frontend/pull/69,2023-02-18T08:39:10Z
fix: 修复文档入口错误造成无法链接访问,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/68,2023-01-18T23:58:27Z
引入i18n,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/67,2023-01-25T18:59:06Z
Dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/66,2023-01-07T05:44:05Z
fix: 修复Solidity进阶分享card的图,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/65,2023-01-06T08:00:48Z
fix typo,zzyspace,https://github.com/WTFAcademy/frontend/pull/64,2023-01-03T15:22:46Z
Dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/63,2022-12-13T14:03:12Z
feat: 开放solidity进阶,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/62,2022-12-13T13:11:28Z
Update index.js,0xDjangoMo,https://github.com/WTFAcademy/frontend/pull/61,2022-12-09T04:46:24Z
优化毕业按钮样式,0xDjangoMo,https://github.com/WTFAcademy/frontend/pull/60,2022-12-08T16:30:08Z
Dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/59,2022-12-06T15:20:01Z
fix: 修正相关错误,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/58,2022-12-06T15:19:11Z
fix: 修正相关错误,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/57,2022-12-06T15:19:09Z
Dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/56,2022-12-04T14:00:16Z
Showcase fix 01,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/55,2022-12-04T13:57:17Z
Dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/54,2022-12-02T07:55:37Z
Fix debug 02,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/53,2022-12-02T07:55:14Z
Dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/52,2022-12-01T07:38:21Z
fix: 调试错误-01,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/51,2022-12-01T07:37:00Z
Dev,AmazingAng,https://github.com/WTFAcademy/frontend/pull/50,2022-12-01T07:20:17Z
Fix debug,chongqiangchen,https://github.com/WTFAcademy/frontend/pull/49,2022-12-01T07:17:42Z
